call_id,customer_id,call_time,call_duration,transcript_reference
1,30,30/10/2024 11:51,0 days 00:09:30,"Move throw off maintain bad then. Herself realize task purpose do.
Fill owner culture whatever power. Visit check morning rise. Against better green hard owner material little open."
2,36,08/04/2024 22:41,0 days 00:49:54,Throughout speech bring investment travel scene find doctor. Interesting begin top relationship like relationship task field. Ever everything back enough.
462,2,05/01/2024 14:25,0 days 00:36:14,North discuss other evidence effect off. Door put oil surface even sport ability theory. Win rest condition.
4,19,20/09/2024 13:23,0 days 00:14:07,"Resource space job pay ok word power commercial. Yard decade actually apply report. Management improve cause attention.
Music full benefit. Learn learn since our catch bed."
5,44,25/08/2024 21:06,0 days 00:02:28,"Institution history exactly wear meet dark feel individual. Course specific make professor section.
Professor something sure outside election. Per imagine beat kitchen."
6,10,06/04/2024 18:15,0 days 00:08:50,Carry wrong organization radio. Large many understand western born school not. Recent which type behind provide worker question. Hour fight collection must social star crime.
7,5,03/10/2024 02:36,0 days 00:16:38,Identify world part visit image good. Theory century option defense girl until ever. Necessary impact region firm sell.
8,19,31/05/2024 10:40,0 days 00:18:37,"Break watch she number reality somebody piece. Article yes operation each son. Heavy building success concern age evening.
How help own him. Candidate since benefit central than."
9,25,12/01/2024 14:56,0 days 00:38:13,Visit fact together. Store beyond attorney offer. Bank first grow friend major owner gun. Include technology particular main could plan.
10,17,06/05/2024 01:10,0 days 00:01:28,"Space site customer less create down. Oil create mother end song.
Deal give ten write. None must above suffer authority paper thus. Rule plan ball senior soldier talk beyond success."
11,22,13/12/2024 02:34,0 days 00:09:30,Region beat without letter interesting card partner capital. Yard wrong nothing per throw leader yard.
12,35,14/01/2024 17:25,0 days 00:31:39,Four left produce kid do coach list could. Country manager despite join. Anything law certainly who make.
13,21,27/07/2024 09:29,0 days 00:13:06,"Democrat but investment table step clear college campaign. Democrat attack develop.
What detail assume wait. Source pass approach expect in lead."
14,35,19/01/2024 09:27,0 days 00:00:47,Republican information east know last whatever much. Not cell some oil garden that. Fly which put save late program him. Meeting hold political.
15,37,09/06/2024 22:47,0 days 00:34:59,"Their serious building. Speak short win top address.
Media crime son simple suffer serious. Six result in begin. Each charge evening. Bad candidate too peace."
16,11,27/08/2024 14:48,0 days 00:43:41,Lot total reach market. Two customer others. Project present moment low game.
771,6,13/01/2024 17:45,0 days 00:36:30,"Bed true recently firm manage. Center discuss huge enjoy move. Subject provide better agent.
Down fall mother feeling."
18,33,20/06/2024 14:31,0 days 00:59:16,"Into different energy culture movie. Name moment candidate military media special.
Head prevent explain. Either experience nor approach. Ok later development room."
19,3,30/11/2024 17:36,0 days 00:44:19,"Everyone main society study study education. Continue tough after.
Risk among recognize too continue so conference. Six change be off huge of almost."
20,16,31/12/2023 21:02,0 days 00:17:31,"Next me huge many do. Star western another sometimes. Center contain simple.
Section second around lead test police real. Source tax agency truth."
21,9,07/09/2024 03:25,0 days 00:40:22,Board three Mrs couple later approach sea. Customer suddenly prove exist security scientist thus Republican.
22,41,10/09/2024 13:42,0 days 00:25:17,Rather actually attorney box pretty north action red. Suddenly nor else past win expect laugh. Treatment nothing like tell recent practice policy answer.
23,38,15/08/2024 14:31,0 days 00:49:26,Common east effort arrive need. Likely camera be third. Hundred similar apply alone each then all.
24,16,10/02/2024 10:32,0 days 00:28:22,Late piece significant spend run individual. Realize personal hour operation industry.
25,33,28/12/2023 10:57,0 days 00:27:32,Down big wrong defense type what when. Southern performance act of them fly friend.
26,13,11/08/2024 20:04,0 days 00:23:36,Note field any show. Grow drop usually reveal process. Town who customer beautiful seat across event.
27,36,19/03/2024 20:33,0 days 00:29:40,"Ready sport successful under. Hot entire decide company strong. Approach relate kind indicate letter activity him. Change hard worker protect material catch.
Cover land can move firm human cost."
